Thu May 28 06:36:35 PM UTC 2026 - Sistema iniciado
2026-05-28 23:32:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:33:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:33:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:33:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:33:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:34:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:34:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:34:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:34:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:35:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:35:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:35:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:35:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:36:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:36:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:36:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:36:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:37:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:37:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:37:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:37:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:38:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:38:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:38:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:38:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:39:38 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:39:38 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:39:55 | web             | LIST       | entrada/ (0 archivos)
2026-05-28 23:39:55 | web             | LIST       | procesados/ (5 archivos)
2026-05-28 23:40:13 | 201.246.46.103:51935 | DISCONNECT | Cliente desconectado
2026-05-28 23:40:15 | 201.246.46.103:53229 | CONNECT    | Cliente conectado
2026-05-28 23:40:19 | 201.246.46.103:53229 | LISTPROC   | 5 archivo(s)
2026-05-28 23:40:29 | 201.246.46.103:53229 | READ       | ERROR — archivo2.txt no existe
